1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
-5845247 8388707 -4782835 8388707 -8388308 -7578824 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7993248 -8388308 -8388027 -8388308 -8388408
-5901659 8388707 -4782551 8388707 -8388308 -7690673 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -7997372 -8388308 -8388408 -8388308 -8388408
-5947064 8388707 -4790049 8388707 -8388308 -7663509 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8060050 -8388308 -8388408 -8388308 -8388408
-6035734 8388707 -4797739 8388707 -8388308 -7719882 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8128868 -8388308 -8388408 -8388308 -8388408
-6054094 8388707 -4822993 8388707 -8388308 -7784622 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8147465 -8388308 -8388408 -8388308 -8388408
-6057394 8388707 -4838253 8388707 -8388308 -7840042 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8150810 -8388308 -8388408 -8388308 -8388408
-6095392 8388707 -4841746 8388707 -8388308 -7876848 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8152282 -8388308 -8388408 -8388308 -8388408
-6234813 8388707 -4850707 8388707 -8388308 -7948935 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8167479 -8388308 -8388408 -8388308 -8388408
-6262140 8388707 -4860633 8388707 -8388308 -7974815 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8195534 -8388308 -8388408 -8388308 -8388408
-6262386 8388707 -4870468 8388707 -8388308 -8007318 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8226566 -8388308 -8388408 -8388308 -8388408
-6282352 8388707 -4879555 8388707 -8388308 -8044200 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8276926 -8388308 -8388408 -8388308 -8388408
-6306197 8388707 -4888983 8388707 -8388308 -8089938 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8333496 -8388308 -8388408 -8388308 -8388408
-6308798 8388707 -4899616 8388707 -8388308 -8171991 -8388308 -8388408 -8388308 -8388408 -8388308 -8388408 -8388308 -8360928 -8388308 -8388408 -8388308 -8388408
